노선,방향,시간대,교통량
내부순환로,동향,00,1508
내부순환로,동향,01,1075
내부순환로,동향,02,852
내부순환로,동향,03,786
내부순환로,동향,04,1138
내부순환로,동향,05,2603
내부순환로,동향,06,3658
내부순환로,동향,07,3770
내부순환로,동향,08,3687
내부순환로,동향,09,3582
내부순환로,동향,10,3530
내부순환로,동향,11,3523
내부순환로,동향,12,3541
내부순환로,동향,13,3542
내부순환로,동향,14,3538
내부순환로,동향,15,3555
내부순환로,동향,16,3545
내부순환로,동향,17,3507
내부순환로,동향,18,3539
내부순환로,동향,19,3553
내부순환로,동향,20,3418
내부순환로,동향,21,3347
내부순환로,동향,22,3089
내부순환로,동향,23,2420
내부순환로,서향,00,1206
내부순환로,서향,01,870
내부순환로,서향,02,714
내부순환로,서향,03,740
내부순환로,서향,04,1342
내부순환로,서향,05,3110
내부순환로,서향,06,4090
내부순환로,서향,07,3919
내부순환로,서향,08,3599
내부순환로,서향,09,3633
내부순환로,서향,10,3532
내부순환로,서향,11,3496
내부순환로,서향,12,3581
내부순환로,서향,13,3606
내부순환로,서향,14,3667
내부순환로,서향,15,3715
내부순환로,서향,16,3661
내부순환로,서향,17,3622
내부순환로,서향,18,3540
내부순환로,서향,19,3560
내부순환로,서향,20,3201
내부순환로,서향,21,3087
내부순환로,서향,22,2792
내부순환로,서향,23,1906
강변북로,동향,00,2776
강변북로,동향,01,1889
강변북로,동향,02,1446
강변북로,동향,03,1362
강변북로,동향,04,2141
강변북로,동향,05,5304
강변북로,동향,06,6376
강변북로,동향,07,6407
강변북로,동향,08,6036
강변북로,동향,09,5910
강변북로,동향,10,5899
강변북로,동향,11,5875
강변북로,동향,12,5918
강변북로,동향,13,5945
강변북로,동향,14,5792
강변북로,동향,15,5651
강변북로,동향,16,5264
강변북로,동향,17,4426
강변북로,동향,18,4632
강변북로,동향,19,5014
강변북로,동향,20,5620
강변북로,동향,21,5807
강변북로,동향,22,5314
강변북로,동향,23,4332
강변북로,서향,00,2402
강변북로,서향,01,1671
강변북로,서향,02,1273
강변북로,서향,03,1083
강변북로,서향,04,1417
강변북로,서향,05,3099
